personId,source,sourceID
565,Supermarkets,669
566,Hospitals,325
567,Gas stations,279
567,Retail,573
568,Cleaning products,115
569,Cleaning products,115
570,Cleaning products,115
571,Venture capital,729
572,IT provider,337
573,Cleaning products,115
574,Pharmaceuticals,517
575,Manufacturing,397
576,Mining,426
577,Energy,216
577,Investments,360
578,New Orleans Saints,452
579,Electronics,211
580,Carpet,97
581,Banking,49
582,Real estate,560
583,Samsung,579
584,Hair dryers,296
585,Bloomberg LP,76
586,Aluminum,23
586,Diversified,187
587,Video games,731
588,Vodka,739
589,Online media,475
589,Dallas Mavericks,165
590,Cable television,87
591,Twitter,715
591,Square,651
592,Petrochemicals,511
593,Mining,426
594,Financial services,247
595,Estee Lauder,223
596,Renewable energy,571
597,Gaming,276
598,Telecom,681
599,Supermarkets,669
600,Supermarkets,669
601,Supermarkets,669
602,Food,258
603,FedEx,237
604,Private equity,549
605,Heating,309
605,Cooling equipment,151
606,Energy drinks,218
607,Healthcare,304
608,Tequila,688
609,Software,619
610,Acoustic components,4
611,Software,619
612,Dairy,162
613,Software services,621
614,Retail,573
614,Real estate,560
615,Private equity,549
616,Real estate,560
617,Fintech,250
618,Chemicals,109
619,Retail,573
620,Chemicals,109
620,Spandex,635
621,Biotech,70
621,Vaccines,725
622,Computer services,138
622,Real estate,560
623,Defense,170
624,Staffing & recruiting,653
625,Construction,140
626,Biochemicals,67
627,Retail,573
628,Real estate,560
629,Philadelphia Eagles,520
630,Investment research,359
631,Home-cleaning robots,321
632,Titanium,699
633,Telecom,681
634,Private equity,549
635,Banking,49
636,Private equity,549
637,Pharmaceuticals,517
638,Trucking,714
639,Little Caesars Pizza,384
640,Pharmacies,518
641,Metals,419
642,Banking,49
643,Banking,49
644,Cargill,95
645,Real estate,560
646,Diversified,187
647,Medical equipment,410
648,Finance,243
649,Finance,243
650,Drones,190
651,Solar inverters,626
652,Business software,84
653,Investments,360
654,Carnival Cruises,96
655,Oil,462
655,Banking,49
655,Telecom,681
656,Real estate,560
657,Real estate,560
658,Insurance,349
659,Franklin Templeton,268
660,Coal,120
661,Navigation equipment,447
662,Finance,243
663,Groupon,292
663,Investments,360
664,Smartphones,612
665,Investments,360
666,Venture capital,729
667,Hotels,327
667,Investments,360
668,U-Haul,719
669,EBay,196
670,In-N-Out Burger,339
671,Supermarkets,669
672,Diversified,187
673,Facebook,229
673,Investments,360
674,Agriculture,9
675,Food services,264
676,Publishing,552
677,Beverages,64
678,Oil,462
678,Real estate,560
679,Software,619
680,Spirits,638
681,Elevators,213
681,Escalators,222
682,Paint,491
683,Food service,263
684,Tobacco distribution,701
684,Retail,573
685,Campbell Soup,90
686,Banking,49
686,Minerals,424
687,Banking,49
687,Minerals,424
688,Billboards,65
688,Los Angeles Angels,387
689,Train cars,710
690,Real estate,560
691,Construction equipment,141
691,Media,405
692,Cybersecurity,161
693,Biotech,70
694,Oil,462
694,Investments,360
695,Email marketing,214
696,Subway,666
697,Conglomerate,139
698,Electrical equipment,207
699,Sports,641
700,Uber,720
701,Aluminum,23
702,Email marketing,214
703,Battery separators,56
704,E-commerce,194
705,Car dealerships,92
706,Telecom,681
707,Telecom,681
708,Marvel comics,400
709,Banking,49
709,Real estate,560
710,Telecom,681
711,Movies,440
712,Pharmaceuticals,517
713,Oil trading,467
714,Steel,658
715,Valves,728
716,Auto parts,37
717,Cargill,95
718,Cargill,95
719,Insurance,349
719,Beverages,64
720,Insurance,349
721,Hyundai,333
722,Investments,360
723,Coffee makers,128
724,Optometry,483
725,Oil,462
726,Indianapolis Colts,340
727,Diversified,187
728,Cargill,95
729,Hospitals,325
730,Banking,49
730,Minerals,424
731,Banking,49
731,Minerals,424
732,Videogames,735
733,Consumer goods,145
734,Consumer goods,145
735,Consumer goods,145
736,Glass,283
737,Venture capital,729
738,Finance,243
739,Consumer goods,145
740,Pharmaceuticals,517
